127.0.0.1 - - [26/Feb/2017:13:43:33 +0000] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/Feb/2017:14:34:37 +0000] "POST /ActsInTown-api/user/by-ids HTTP/1.1" 200 818
0:0:0:0:0:0:0:1 - - [26/Feb/2017:14:34:44 +0000] "POST /ActsInTown-api/user/by-ids HTTP/1.1" 200 552
0:0:0:0:0:0:0:1 - - [26/Feb/2017:15:03:20 +0000] "OPTIONS /ActsInTown-api/user/current HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Feb/2017:15:03:20 +0000] "GET /ActsInTown-api/user/current HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [26/Feb/2017:15:03:20 +0000] "OPTIONS /ActsInTown-api/user/by-ids HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Feb/2017:15:03:20 +0000] "POST /ActsInTown-api/user/by-ids HTTP/1.1" 200 818
0:0:0:0:0:0:0:1 - - [26/Feb/2017:15:03:54 +0000] "GET /ActsInTown-api/user/current HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [26/Feb/2017:15:03:54 +0000] "POST /ActsInTown-api/user/by-ids HTTP/1.1" 200 818
0:0:0:0:0:0:0:1 - - [26/Feb/2017:15:04:40 +0000] "GET /ActsInTown-api/user/current HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [26/Feb/2017:15:04:40 +0000] "POST /ActsInTown-api/user/by-ids HTTP/1.1" 200 818
0:0:0:0:0:0:0:1 - - [26/Feb/2017:15:04:45 +0000] "POST /ActsInTown-api/user/by-ids HTTP/1.1" 200 552
0:0:0:0:0:0:0:1 - - [26/Feb/2017:15:08:30 +0000] "POST /ActsInTown-api/user/by-ids HTTP/1.1" 200 552
0:0:0:0:0:0:0:1 - - [26/Feb/2017:15:08:33 +0000] "GET /ActsInTown-api/user/current HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [26/Feb/2017:15:08:33 +0000] "POST /ActsInTown-api/user/by-ids HTTP/1.1" 200 818
0:0:0:0:0:0:0:1 - - [26/Feb/2017:15:08:35 +0000] "POST /ActsInTown-api/user/by-ids HTTP/1.1" 200 552
0:0:0:0:0:0:0:1 - - [26/Feb/2017:15:08:39 +0000] "GET /ActsInTown-api/user/current HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [26/Feb/2017:15:08:39 +0000] "POST /ActsInTown-api/user/by-ids HTTP/1.1" 200 818
0:0:0:0:0:0:0:1 - - [26/Feb/2017:15:08:41 +0000] "POST /ActsInTown-api/user/by-ids HTTP/1.1" 200 552
